<1% abundance,<1% abundance,darkgrey
Actinobacteria,Actinobacteria,darkseagreen
Planctomycetes,Planctomycetacia,darksalmon
Dependentiae,Babeliae,blueviolet
Firmicutes,Bacilli,palevioletred
Spirochaetes,Spirochaetia,darkgreen
Nanoarchaeaeota,Woesearchaeia,chartreuse3
Cyanobacteria,Oxyphotobacteria,darkcyan
Bacteroidetes,Bacteroidia,khaki1
Proteobacteria,Deltaproteobacteria,lightsteelblue2
Proteobacteria,Alphaproteobacteria,royalblue2
Proteobacteria,Gammaproteobacteria,lightskyblue
